memberNumber,fullName,phone,accountType,transactionType,amount,transactionDate,meetingNumber,interestPeriod,description
M001,Ramesh Kumar,9876543210,LOAN,REPAYMENT,1500.00,2025-07-10,4,2025-07,Loan Installment 2
M003,Rajesh Nair,9876543212,LOAN,REPAYMENT,1000.00,2025-07-10,4,2025-07,Loan Installment 2
M004,Lakshmi Priya,9876543213,SPECIAL_LOAN,LOAN_ISSUED,5000.00,2025-07-10,4,2025-07,Festival Special Loan Issued
M005,Suresh Babu,9876543214,FINE,ADDITION,50.00,2025-07-10,4,2025-07,Late Arrival Fine
,Group,9876543210,GROUP_EXPENSE,EXPENSE,150.00,2025-07-10,4,2025-07,Tea & Refreshment Expense
M001,Ramesh Kumar,9876543210,MONTHLY_CONTRIBUTION,ADDITION,200.00,2025-08-10,5,2025-08,August Monthly Contribution
M002,Sunitha Devi,9876543211,MONTHLY_CONTRIBUTION,ADDITION,200.00,2025-08-10,5,2025-08,August Monthly Contribution
M003,Rajesh Nair,9876543212,MONTHLY_CONTRIBUTION,ADDITION,200.00,2025-08-10,5,2025-08,August Monthly Contribution
M004,Lakshmi Priya,9876543213,MONTHLY_CONTRIBUTION,ADDITION,200.00,2025-08-10,5,2025-08,August Monthly Contribution
M005,Suresh Babu,9876543214,MONTHLY_CONTRIBUTION,ADDITION,200.00,2025-08-10,5,2025-08,August Monthly Contribution
M001,Ramesh Kumar,9876543210,LOAN,REPAYMENT,1500.00,2025-08-10,5,2025-08,Loan Installment 3
M004,Lakshmi Priya,9876543213,SPECIAL_LOAN,REPAYMENT,1000.00,2025-08-10,5,2025-08,Special Loan Repayment 1
M002,Sunitha Devi,9876543211,FINANCIAL_AID,ADDITION,2000.00,2025-08-10,5,2025-08,Medical Aid Disbursed to Sunitha
,Group,9876543210,GROUP_EXPENSE,EXPENSE,350.00,2025-08-10,5,2025-08,Refreshment & Meeting Snacks Expense
M001,Ramesh Kumar,9876543210,MONTHLY_CONTRIBUTION,ADDITION,200.00,2025-09-10,6,2025-09,September Monthly Contribution
M002,Sunitha Devi,9876543211,MONTHLY_CONTRIBUTION,ADDITION,200.00,2025-09-10,6,2025-09,September Monthly Contribution
M003,Rajesh Nair,9876543212,MONTHLY_CONTRIBUTION,ADDITION,200.00,2025-09-10,6,2025-09,September Monthly Contribution
M004,Lakshmi Priya,9876543213,MONTHLY_CONTRIBUTION,ADDITION,200.00,2025-09-10,6,2025-09,September Monthly Contribution
M005,Suresh Babu,9876543214,MONTHLY_CONTRIBUTION,ADDITION,200.00,2025-09-10,6,2025-09,September Monthly Contribution
M001,Ramesh Kumar,9876543210,LOAN,REPAYMENT,1500.00,2025-09-10,6,2025-09,Loan Installment 4
M003,Rajesh Nair,9876543212,LOAN,REPAYMENT,1000.00,2025-09-10,6,2025-09,Loan Installment 3
,Group,9876543210,GROUP_PROFIT,PROFIT,1200.00,2025-09-10,6,2025-09,Onam Bumper Raffle Profit Added to Michathuka
M001,Ramesh Kumar,9876543210,MONTHLY_CONTRIBUTION,ADDITION,200.00,2025-10-10,7,2025-10,October Monthly Contribution
M002,Sunitha Devi,9876543211,MONTHLY_CONTRIBUTION,ADDITION,200.00,2025-10-10,7,2025-10,October Monthly Contribution
M003,Rajesh Nair,9876543212,MONTHLY_CONTRIBUTION,ADDITION,200.00,2025-10-10,7,2025-10,October Monthly Contribution
M004,Lakshmi Priya,9876543213,MONTHLY_CONTRIBUTION,ADDITION,200.00,2025-10-10,7,2025-10,October Monthly Contribution
M005,Suresh Babu,9876543214,MONTHLY_CONTRIBUTION,ADDITION,200.00,2025-10-10,7,2025-10,October Monthly Contribution
M001,Ramesh Kumar,9876543210,LOAN,REPAYMENT,1500.00,2025-10-10,7,2025-10,Loan Installment 5
M005,Suresh Babu,9876543214,DEPOSIT,ADDITION,2000.00,2025-10-10,7,2025-10,Festive Savings Deposit
,Group,9876543210,GROUP_EXPENSE,EXPENSE,400.00,2025-10-10,7,2025-10,Diwali Catering & Sweets
,Group,9876543210,GROUP_PROFIT,PROFIT,2500.00,2025-10-10,7,2025-10,Festive Auction Surplus Revenue
M001,Ramesh Kumar,9876543210,MONTHLY_CONTRIBUTION,ADDITION,200.00,2025-11-10,8,2025-11,November Monthly Contribution
M002,Sunitha Devi,9876543211,MONTHLY_CONTRIBUTION,ADDITION,200.00,2025-11-10,8,2025-11,November Monthly Contribution
M003,Rajesh Nair,9876543212,MONTHLY_CONTRIBUTION,ADDITION,200.00,2025-11-10,8,2025-11,November Monthly Contribution
M004,Lakshmi Priya,9876543213,MONTHLY_CONTRIBUTION,ADDITION,200.00,2025-11-10,8,2025-11,November Monthly Contribution
M005,Suresh Babu,9876543214,MONTHLY_CONTRIBUTION,ADDITION,200.00,2025-11-10,8,2025-11,November Monthly Contribution
M002,Sunitha Devi,9876543211,LOAN,LOAN_ISSUED,8000.00,2025-11-10,8,2025-11,Personal Loan Issued to Sunitha
M004,Lakshmi Priya,9876543213,SPECIAL_LOAN,REPAYMENT,2000.00,2025-11-10,8,2025-11,Special Loan Repayment 2
,Group,9876543210,GROUP_EXPENSE,EXPENSE,300.00,2025-11-10,8,2025-11,Annual Audit & Filing Fee
,Group,9876543210,GROUP_PROFIT,PROFIT,650.00,2025-11-10,8,2025-11,Fixed Deposit Interest Income
M001,Ramesh Kumar,9876543210,MONTHLY_CONTRIBUTION,ADDITION,200.00,2025-12-10,9,2025-12,December Monthly Contribution
M002,Sunitha Devi,9876543211,MONTHLY_CONTRIBUTION,ADDITION,200.00,2025-12-10,9,2025-12,December Monthly Contribution
M003,Rajesh Nair,9876543212,MONTHLY_CONTRIBUTION,ADDITION,200.00,2025-12-10,9,2025-12,December Monthly Contribution
M004,Lakshmi Priya,9876543213,MONTHLY_CONTRIBUTION,ADDITION,200.00,2025-12-10,9,2025-12,December Monthly Contribution
M005,Suresh Babu,9876543214,MONTHLY_CONTRIBUTION,ADDITION,200.00,2025-12-10,9,2025-12,December Monthly Contribution
M001,Ramesh Kumar,9876543210,LOAN,REPAYMENT,1500.00,2025-12-10,9,2025-12,Loan Installment 6
M002,Sunitha Devi,9876543211,LOAN,REPAYMENT,1000.00,2025-12-10,9,2025-12,Loan Installment 1
,Group,9876543210,GROUP_EXPENSE,EXPENSE,250.00,2025-12-10,9,2025-12,Passbook & Printing Printing Expense
M001,Ramesh Kumar,9876543210,MONTHLY_CONTRIBUTION,ADDITION,200.00,2026-01-10,10,2026-01,January 2026 Contribution
M002,Sunitha Devi,9876543211,MONTHLY_CONTRIBUTION,ADDITION,200.00,2026-01-10,10,2026-01,January 2026 Contribution
M003,Rajesh Nair,9876543212,MONTHLY_CONTRIBUTION,ADDITION,200.00,2026-01-10,10,2026-01,January 2026 Contribution
M004,Lakshmi Priya,9876543213,MONTHLY_CONTRIBUTION,ADDITION,200.00,2026-01-10,10,2026-01,January 2026 Contribution
M005,Suresh Babu,9876543214,MONTHLY_CONTRIBUTION,ADDITION,200.00,2026-01-10,10,2026-01,January 2026 Contribution
M001,Ramesh Kumar,9876543210,LOAN,REPAYMENT,1500.00,2026-01-10,10,2026-01,Loan Installment 7
M002,Sunitha Devi,9876543211,LOAN,REPAYMENT,1000.00,2026-01-10,10,2026-01,Loan Installment 2
M004,Lakshmi Priya,9876543213,SPECIAL_LOAN,REPAYMENT,2000.00,2026-01-10,10,2026-01,Special Loan Final Closure
,Group,9876543210,GROUP_PROFIT,PROFIT,1500.00,2026-01-10,10,2026-01,Annual Dividend / Interest Surplus Added to Michathuka
